start_station_name,end_station_name,trip_count
10th Ave at E 15th St,Lake Merritt BART Station,9
10th St at Fallon St,2nd Ave at E 18th St,110
10th St at University Ave,North Berkeley BART Station,25
11th St at Bryant St,San Francisco Caltrain Station 2  (Townsend St at 4th St),76
11th St at Natoma St,San Francisco Caltrain Station 2  (Townsend St at 4th St),100
13th St at Franklin St,Lakeside Dr at 14th St,22
14th St at Filbert St,West Oakland BART Station,58
14th St at Mandela Pkwy,West Oakland BART Station,154
14th St at Mission St,San Francisco Caltrain Station 2  (Townsend St at 4th St),65
15th St at Potrero Ave,16th St Mission BART Station 2,55
16th St Depot,Howard St at 8th St,1
16th St Mission BART,19th St at Florida St,48
16th St Mission BART Station 2,Harrison St at 17th St,77
16th St at Prosper St,16th St Mission BART Station 2,23
17th & Folsom Street Park (17th St at Folsom St),Folsom St at 3rd St,29
17th St at Dolores St,16th St Mission BART Station 2,26
17th St at Valencia St,Market St at 10th St,32
18th St at Noe St,Valencia St at 22nd St,22
19th St at Florida St,16th St Mission BART,49
19th St at Mission St,Division St at Potrero Ave,26
19th Street BART Station,Grand Ave at Perkins St,283
1st St at Folsom St,Powell St BART Station (Market St at 4th St),37
20th St at Bryant St,16th St Mission BART,33
20th St at Dolores St,16th St Mission BART Station 2,26
21st Ave at International Blvd,10th Ave at E 15th St,1
22nd St Caltrain Station,San Francisco Ferry Building (Harry Bridges Plaza),52
22nd St at Dolores St,Harrison St at 20th St,27
23rd Ave at Foothill Blvd,Fruitvale BART Station,10
23rd St at San Bruno Ave,Precita Park,21
23rd St at Tennessee St,22nd St Caltrain Station,49
24th St at Bartlett St,29th St at Church St,31
24th St at Chattanooga St,24th St at Bartlett St,42
24th St at Market St,West Oakland BART Station,53
26th Ave at International Blvd,Fruitvale BART Station,11
27th St at MLK Jr Way,Telegraph Ave at 19th St,18
29th St at Church St,Valencia St at 24th St,54
29th St at Tiffany Ave,Valencia St at 24th St,33
2nd Ave at E 18th St,Lake Merritt BART Station,163
2nd St at Folsom St,San Francisco Caltrain (Townsend St at 4th St),17
2nd St at Julian St,San Fernando St at 4th St,86
2nd St at Townsend St,Montgomery St BART Station (Market St at 2nd St),221
30th St at San Jose Ave,24th St at Bartlett St,16
32nd St at Adeline St,West Oakland BART Station,52
34th St at Telegraph Ave,MacArthur BART Station,30
37th St at West St,MacArthur BART Station,38
3rd St at Townsend St,San Francisco Ferry Building (Harry Bridges Plaza),127
45th St at MLK Jr Way,MacArthur BART Station,13
45th St at Manila,MacArthur BART Station,139
47th St at San Pablo Ave,MacArthur BART Station,19
49th St at Telegraph Ave,MacArthur BART Station,72
4th Ave at E 12th St (Temporary Location),Lake Merritt BART Station,55
4th St at 16th St,San Francisco Ferry Building (Harry Bridges Plaza),131
4th St at Harrison St,San Francisco Caltrain (Townsend St at 4th St),48
4th St at Mission Bay Blvd S,Berry St at 4th St,128
