route,trip_count,pct_of_total
Berry St at 4th St → San Francisco Ferry Building (Harry Bridges Plaza),327,0.18715230878413955
Grand Ave at Perkins St → 19th Street BART Station,308,0.17627801561319567
San Francisco Ferry Building (Harry Bridges Plaza) → The Embarcadero at Sansome St,286,0.16368672878368168
19th Street BART Station → Grand Ave at Perkins St,283,0.16196973512511162
The Embarcadero at Sansome St → Steuart St at Market St,282,0.16139740390558824
Townsend St at 7th St → San Francisco Caltrain Station 2  (Townsend St at 4th St),260,0.14880611707607427
San Fernando St at 7th St → 5th St at Virginia St,249,0.14251047366131728
Market St at 10th St → Montgomery St BART Station (Market St at 2nd St),243,0.1390764863441771
5th St at Virginia St → San Fernando St at 7th St,238,0.13621483024656028
Market St at 10th St → San Francisco Caltrain Station 2  (Townsend St at 4th St),232,0.1327808429294201
Market St at 10th St → Powell St BART Station (Market St at 4th St),230,0.1316361804903734
Bancroft Way at College Ave → Bancroft Way at Telegraph Ave,223,0.12762986195370984
2nd St at Townsend St → Montgomery St BART Station (Market St at 2nd St),221,0.12648519951466314
Division St at Potrero Ave → San Francisco Caltrain Station 2  (Townsend St at 4th St),218,0.12476820585609304
San Fernando St at 4th St → 5th St at Virginia St,216,0.1236235434170463
5th St at Virginia St → San Fernando St at 4th St,215,0.12305121219752294
2nd St at Townsend St → San Francisco Ferry Building (Harry Bridges Plaza),210,0.12018955609990614
Bryant St at 2nd St → Montgomery St BART Station (Market St at 2nd St),201,0.11503857512419587
Steuart St at Market St → The Embarcadero at Sansome St,192,0.1098875941484856
Haste St at College Ave → Bancroft Way at Telegraph Ave,183,0.10473661317277536
Steuart St at Market St → Berry St at 4th St,181,0.10359195073372862
Montgomery St BART Station (Market St at 2nd St) → Market St at 10th St,178,0.10187495707515853
Howard St at Beale St → San Francisco Caltrain (Townsend St at 4th St),175,0.10015796341658846
Montgomery St BART Station (Market St at 2nd St) → 2nd St at Townsend St,171,0.09786863853849499
Montgomery St BART Station (Market St at 2nd St) → San Francisco Caltrain (Townsend St at 4th St),170,0.09729630731897163
Berry St at 4th St → Howard St at Beale St,168,0.0961516448799249
Bancroft Way at College Ave → Downtown Berkeley BART,168,0.0961516448799249
San Francisco Ferry Building (Harry Bridges Plaza) → Berry St at 4th St,166,0.09500698244087818
Steuart St at Market St → San Francisco Caltrain (Townsend St at 4th St),166,0.09500698244087818
Bancroft Way at Telegraph Ave → Hearst Ave at Euclid Ave,165,0.09443465122135483
Lake Merritt BART Station → 2nd Ave at E 18th St,165,0.09443465122135483
The Embarcadero at Sansome St → San Francisco Ferry Building (Harry Bridges Plaza),164,0.09386232000183146
5th St at Brannan St → Powell St BART Station (Market St at 5th St),163,0.0932899887823081
2nd Ave at E 18th St → Lake Merritt BART Station,163,0.0932899887823081
Bancroft Way at Telegraph Ave → Parker St at Fulton St,161,0.09214532634326138
Bay Pl at Vernon St → 19th Street BART Station,159,0.09100066390421464
West Oakland BART Station → 14th St at Mandela Pkwy,159,0.09100066390421464
Montgomery St BART Station (Market St at 2nd St) → Bryant St at 2nd St,158,0.09042833268469129
Powell St BART Station (Market St at 5th St) → Market St at 10th St,157,0.08985600146516792
Powell St BART Station (Market St at 4th St) → Market St at 10th St,157,0.08985600146516792
Embarcadero BART Station (Beale St at Market St) → Beale St at Harrison St,157,0.08985600146516792
Hearst Ave at Euclid Ave → Bancroft Way at Telegraph Ave,156,0.08928367024564456
Powell St BART Station (Market St at 5th St) → 5th St at Brannan St,154,0.08813900780659784
Berry St at 4th St → Beale St at Harrison St,154,0.08813900780659784
14th St at Mandela Pkwy → West Oakland BART Station,154,0.08813900780659784
8th St at Brannan St → San Francisco Caltrain Station 2  (Townsend St at 4th St),150,0.0858496829285044
2nd Ave at E 18th St → 10th St at Fallon St,146,0.08356035805041094
Berry St at 4th St → Steuart St at Market St,144,0.0824156956113642
San Francisco Ferry Building (Harry Bridges Plaza) → 2nd St at Townsend St,144,0.0824156956113642
Powell St BART Station (Market St at 5th St) → Townsend St at 5th St,143,0.08184336439184084
San Francisco Caltrain Station 2  (Townsend St at 4th St) → Market St at 10th St,143,0.08184336439184084
45th St at Manila → MacArthur BART Station,139,0.0795540395137474
Telegraph Ave at 27th St → 19th Street BART Station,139,0.0795540395137474
Beale St at Harrison St → San Francisco Caltrain (Townsend St at 4th St),139,0.0795540395137474
Steuart St at Market St → 2nd St at Townsend St,138,0.07898170829422403
19th Street BART Station → Bay Pl at Vernon St,138,0.07898170829422403
Fell St at Stanyan St → Fell St at Stanyan St,135,0.07726471463565394
